race_id,track,race_number,distance,surface,date_time,race_description,available_bets
85,GPX,R6,7.5f,T,05-27-2016<br>12:54,GPX R6 7.5f T 05-27-2016<br>12:54 Pacific ,GPX R6 7.5f T 05-27-2016<br>12:54 Pacific 
86,GPX,R7,7f,D,05-27-2016<br>13:26,GPX R7 7f D 05-27-2016<br>13:26 Pacific ,GPX R7 7f D 05-27-2016<br>13:26 Pacific 
87,GPX,R8,7.5f,T,05-27-2016<br>13:58,GPX R8 7.5f T 05-27-2016<br>13:58 Pacific ,GPX R8 7.5f T 05-27-2016<br>13:58 Pacific 
88,HPX,R2,4f,D,05-27-2016<br>16:53,HPX R2 4f D 05-27-2016<br>16:53 Pacific ,HPX R2 4f D 05-27-2016<br>16:53 Pacific 
89,HPX,R3,4f,D,05-27-2016<br>17:18,HPX R3 4f D 05-27-2016<br>17:18 Pacific ,HPX R3 4f D 05-27-2016<br>17:18 Pacific 
90,HPX,R4,4f,D,05-27-2016<br>17:43,HPX R4 4f D 05-27-2016<br>17:43 Pacific ,HPX R4 4f D 05-27-2016<br>17:43 Pacific 
91,HPX,R5,4f,D,05-27-2016<br>18:08,HPX R5 4f D 05-27-2016<br>18:08 Pacific ,HPX R5 4f D 05-27-2016<br>18:08 Pacific 
92,HPX,R6,4f,D,05-27-2016<br>18:33,HPX R6 4f D 05-27-2016<br>18:33 Pacific ,HPX R6 4f D 05-27-2016<br>18:33 Pacific 
93,HPX,R7,4f,D,05-27-2016<br>18:58,HPX R7 4f D 05-27-2016<br>18:58 Pacific ,HPX R7 4f D 05-27-2016<br>18:58 Pacific 
94,HPX,R8,4f,D,05-27-2016<br>19:23,HPX R8 4f D 05-27-2016<br>19:23 Pacific ,HPX R8 4f D 05-27-2016<br>19:23 Pacific 
95,HPX,R9,4f,D,05-27-2016<br>19:48,HPX R9 4f D 05-27-2016<br>19:48 Pacific ,HPX R9 4f D 05-27-2016<br>19:48 Pacific 
96,IND,R1,5.5f,D,05-27-2016<br>11:05,IND R1 5.5f D 05-27-2016<br>11:05 Pacific ,IND R1 5.5f D 05-27-2016<br>11:05 Pacific 
97,IND,R2,5f,T,05-27-2016<br>11:33,IND R2 5f T 05-27-2016<br>11:33 Pacific ,IND R2 5f T 05-27-2016<br>11:33 Pacific 
98,IND,R3,8f,D,05-27-2016<br>12:01,IND R3 8f D 05-27-2016<br>12:01 Pacific ,IND R3 8f D 05-27-2016<br>12:01 Pacific 
99,IND,R4,8.5f,T,05-27-2016<br>12:29,IND R4 8.5f T 05-27-2016<br>12:29 Pacific ,IND R4 8.5f T 05-27-2016<br>12:29 Pacific 
100,IND,R5,8f,D,05-27-2016<br>12:57,IND R5 8f D 05-27-2016<br>12:57 Pacific ,IND R5 8f D 05-27-2016<br>12:57 Pacific 
101,IND,R6,5f,T,05-27-2016<br>13:25,IND R6 5f T 05-27-2016<br>13:25 Pacific ,IND R6 5f T 05-27-2016<br>13:25 Pacific 
102,IND,R7,6f,D,05-27-2016<br>13:53,IND R7 6f D 05-27-2016<br>13:53 Pacific ,IND R7 6f D 05-27-2016<br>13:53 Pacific 
103,IND,R8,6f,D,05-27-2016<br>14:21,IND R8 6f D 05-27-2016<br>14:21 Pacific ,IND R8 6f D 05-27-2016<br>14:21 Pacific 
104,LAD,R1,5.5f,D,05-27-2016<br>13:15,LAD R1 5.5f D 05-27-2016<br>13:15 Pacific ,LAD R1 5.5f D 05-27-2016<br>13:15 Pacific 
105,LAD,R2,8f,T,05-27-2016<br>13:42,LAD R2 8f T 05-27-2016<br>13:42 Pacific ,LAD R2 8f T 05-27-2016<br>13:42 Pacific 
106,LAD,R3,5f,D,05-27-2016<br>14:09,LAD R3 5f D 05-27-2016<br>14:09 Pacific ,LAD R3 5f D 05-27-2016<br>14:09 Pacific 
107,LAD,R4,8f,T,05-27-2016<br>14:36,LAD R4 8f T 05-27-2016<br>14:36 Pacific ,LAD R4 8f T 05-27-2016<br>14:36 Pacific 
108,LAD,R5,5.5f,D,05-27-2016<br>15:03,LAD R5 5.5f D 05-27-2016<br>15:03 Pacific ,LAD R5 5.5f D 05-27-2016<br>15:03 Pacific 
109,LAD,R6,7.5f,T,05-27-2016<br>15:30,LAD R6 7.5f T 05-27-2016<br>15:30 Pacific ,LAD R6 7.5f T 05-27-2016<br>15:30 Pacific 
110,LAD,R7,6.5f,D,05-27-2016<br>15:57,LAD R7 6.5f D 05-27-2016<br>15:57 Pacific ,LAD R7 6.5f D 05-27-2016<br>15:57 Pacific 
111,LAX,R1,4.5f,D,05-27-2016<br>19:00,LAX R1 4.5f D 05-27-2016<br>19:00 Pacific ,LAX R1 4.5f D 05-27-2016<br>19:00 Pacific 
