race_id,Name,Odds,FinishPosition,$2WinPay,$2PlacePay,$2ShowPay,ExactaPay,QuinellaPay,FieldSize,Track,RaceNum,Date,DistYrds,Surface,TrackCondition,ClassDescriptor,Purse,Weight,BettersToteProb,BettersToteProbRk,BettersToteProbDiff
18,BIG IMAGINATION,7.6,4,0,0,0,16.4,0,7,APX,3,5/29/16,1760,T,YL,C,19000,116,0.8961,1,2.60E-03
18,BOURNE COUNTRY,11.1,7,0,0,0,16.4,0,7,APX,3,5/29/16,1760,T,YL,C,19000,116,0.8821,3,-0.014
19,TRUSTY TRUMAN,2.2,2,0,3.8,2.8,20.6,0,8,APX,4,5/29/16,1320,D,FT,M,13000,118,0.807,5,-9.15E-02
19,HAWK IS READY,14,4,0,0,0,20.6,0,8,APX,4,5/29/16,1320,D,FT,M,13000,118,0.8985,1,0.0291
19,G F BUDDERS,2,5,0,0,0,20.6,0,8,APX,4,5/29/16,1320,D,FT,M,13000,118,0.7533,6,-0.1452
19,CARTIAC ROAD,29,3,0,0,6.6,20.6,0,8,APX,4,5/29/16,1320,D,FT,M,13000,118,0.711,8,-0.1875
19,AFTER THE GOLDRUSH,10.5,7,0,0,0,20.6,0,8,APX,4,5/29/16,1320,D,FT,M,13000,118,0.8694,2,-0.0291
19,FERLIN HUSKY,2.4,1,6.8,3.8,3,20.6,0,8,APX,4,5/29/16,1320,D,FT,M,13000,124,0.8452,3,-5.33E-02
19,SOCKSBDANCING,28.7,8,0,0,0,20.6,0,8,APX,4,5/29/16,1320,D,FT,M,13000,118,0.7455,7,-0.153
19,THREE GOLDEN RULES,15.4,6,0,0,0,20.6,0,8,APX,4,5/29/16,1320,D,FT,M,13000,118,0.8348,4,-6.37E-02
20,RED BUTTE,11.8,6,0,0,0,65.2,0,8,APX,5,5/29/16,1760,T,YL,M,21000,119,0.8461,5,-9.02E-02
20,STREET PREACHER,10.7,8,0,0,0,65.2,0,8,APX,5,5/29/16,1760,T,YL,M,21000,110,0.8857,3,-5.06E-02
20,ORCUS,2,5,0,0,0,65.2,0,8,APX,5,5/29/16,1760,T,YL,M,21000,124,0.7479,8,-0.1884
20,CONGRATS GIVEN,21,4,0,0,0,65.2,0,8,APX,5,5/29/16,1760,T,YL,M,21000,119,0.7964,7,-0.1399
20,CANNES,1.9,2,0,3.8,3,65.2,0,8,APX,5,5/29/16,1760,T,YL,M,21000,119,0.8039,6,-0.1324
20,MOONLIGHT MISCHIEF,12.1,7,0,0,0,65.2,0,8,APX,5,5/29/16,1760,T,YL,M,21000,115,0.8502,4,-8.61E-02
20,CHEERS TO US,6.6,1,15.2,5.4,4.6,65.2,0,8,APX,5,5/29/16,1760,T,YL,M,21000,119,0.8953,2,-4.10E-02
20,INTREPID HUMOR,6.6,3,0,0,4,65.2,0,8,APX,5,5/29/16,1760,T,YL,M,21000,124,0.9363,1,4.10E-02
21,DR. CLARK,1.1,3,0,0,2.4,103.6,0,8,APX,6,5/29/16,1320,D,FT,A,33000,121,0.848,3,-7.05E-02
21,CAITLINS ROAD,4.4,2,0,4.8,3,103.6,0,8,APX,6,5/29/16,1320,D,FT,A,33000,121,0.8521,2,-6.64E-02
21,TURBULENT WAR,28.6,7,0,0,0,103.6,0,8,APX,6,5/29/16,1320,D,FT,A,33000,114,0.8318,6,-8.67E-02
21,SMOKEY ROW MAC,7.9,6,0,0,0,103.6,0,8,APX,6,5/29/16,1320,D,FT,A,33000,121,0.9185,1,6.64E-02
21,SOPRANO'S SONATA,12,8,0,0,0,103.6,0,8,APX,6,5/29/16,1320,D,FT,A,33000,121,0.8398,4,-7.87E-02
21,BRIAR'S GOLD,4.7,4,0,0,0,103.6,0,8,APX,6,5/29/16,1320,D,FT,A,33000,121,0.8202,7,-9.83E-02
21,MR DOUBLE STANDARD,7,1,16,6.6,3.8,103.6,0,8,APX,6,5/29/16,1320,D,FT,A,33000,121,0.8392,5,-7.93E-02
21,PRIZE NATIVE,31.9,5,0,0,0,103.6,0,8,APX,6,5/29/16,1320,D,FT,A,33000,121,0.6745,8,-0.244
22,WIN D PRADO,4.8,7,0,0,0,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,0.8207,7,-0.1445
22,GRIFFIN THE GREAT,20.7,9,0,0,0,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,0.7812,8,-0.184
22,FRONTIER FORCE,18.9,4,0,0,0,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,0.9652,1,8.61E-02
22,O NO NOT U AGAIN,12.7,8,0,0,0,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,116,0.8645,4,-0.1007
22,POKER PLAYER,7.2,3,0,0,4.6,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,0.8389,6,-0.1263
22,GHOST TO GHOST,3.4,5,0,0,0,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,0.8791,2,-8.61E-02
22,A NICE SLEWISH BOY,4,6,0,0,0,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,0.7765,9,-0.1887
22,W B AND ME,4.3,2,0,6.6,4.6,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,0.8528,5,-0.1124
22,VIKING,8.7,1,19.4,9.2,6.2,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,0.8769,3,-8.83E-02
22,BALLISTIC TIM,33.2,10,0,0,0,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,0.7216,10,-0.2436
23,RED REDEMPTION,5.3,1,12.6,7.4,4.4,217.8,0,8,APX,8,5/29/16,1430,D,FT,C,11000,122,0.8455,4,-4.37E-02
23,TACTICAL CHARLIE,4.7,7,0,0,0,217.8,0,8,APX,8,5/29/16,1430,D,FT,C,11000,117,0.8516,3,-3.76E-02
23,EIGHT GAUGE,37.1,5,0,0,0,217.8,0,8,APX,8,5/29/16,1430,D,FT,C,11000,115,0.8001,5,-8.91E-02
23,NOBLE LEADER,21.9,2,0,13.4,7,217.8,0,8,APX,8,5/29/16,1430,D,FT,C,11000,122,0.7603,8,-0.1289
23,AS YOU KNOW,16.3,6,0,0,0,217.8,0,8,APX,8,5/29/16,1430,D,FT,C,11000,117,0.8892,1,3.05E-02
23,VAN LIER,35.2,8,0,0,0,217.8,0,8,APX,8,5/29/16,1430,D,FT,C,11000,122,0.7638,7,-0.1253999
