race_id,Name,Odds,FinishPosition,$2WinPay,$2PlacePay,$2ShowPay,ExactaPay,QuinellaPay,FieldSize,track,RaceNum,Date,DistYrds,surface,TrackCondition,ClassDescriptor,Purse,Weight,PP,BettersToteProb,BettersToteProbRk,BettersToteProbDiff
468,NINETY SCHILLINGS,7.2,2,0,6.8,4.2,67.8,34.2,6,ARP,3,5/29/16,1760,D,FT,R,6200,124,5,0.8618,3,-5.04E-02
468,AFFRETTANDO,2.4,3,0,0,3.4,67.8,34.2,6,ARP,3,5/29/16,1760,D,FT,R,6200,124,6,0.8599,4,-5.23E-02
469,GROUNDER,15.3,7,0,0,0,39.6,20.8,9,ARP,4,5/29/16,1320,D,FT,C,5000,116,1,0.8525,5,-0.1006
469,HIT A HOMERUN,2.2,3,0,0,2.6,39.6,20.8,9,ARP,4,5/29/16,1320,D,FT,C,5000,124,2,0.8186,8,-0.1345
469,LEIGHTON,24.9,9,0,0,0,39.6,20.8,9,ARP,4,5/29/16,1320,D,FT,C,5000,124,3,0.9531,1,5.87E-02
469,ESSENCE OF SKY,3.3,1,8.6,4.4,3.2,39.6,20.8,9,ARP,4,5/29/16,1320,D,FT,C,5000,120,4,0.8729,4,-8.02E-02
469,MIDWAY READY,17.4,6,0,0,0,39.6,20.8,9,ARP,4,5/29/16,1320,D,FT,C,5000,124,5,0.8795,3,-7.36E-02
469,ROBBA ROBBA X DOO,14.5,5,0,0,0,39.6,20.8,9,ARP,4,5/29/16,1320,D,FT,C,5000,120,6,0.8944,2,-5.87E-02
469,GRAND BIERSTADT,5.1,8,0,0,0,39.6,20.8,9,ARP,4,5/29/16,1320,D,FT,C,5000,121,7,0.8314,7,-0.1217
469,KNOTTA DANCER,9.1,4,0,0,0,39.6,20.8,9,ARP,4,5/29/16,1320,D,FT,C,5000,119,8,0.8434,6,-0.1097
469,CONFESS YOUR SINS,3.5,2,0,5.2,3,39.6,20.8,9,ARP,4,5/29/16,1320,D,FT,C,5000,124,9,0.7943,9,-0.1588
470,COWGIRL QUEEN,2.4,3,0,0,3,52.8,24.8,6,ARP,5,5/29/16,1320,D,FT,C,6800,124,1,0.8646,4,-3.56E-02
470,VADVADA,1.9,2,0,3.8,3,52.8,24.8,6,ARP,5,5/29/16,1320,D,FT,C,6800,124,2,0.8053,5,-9.49E-02
470,CAPEAWAY,2.5,4,0,0,0,52.8,24.8,6,ARP,5,5/29/16,1320,D,FT,C,6800,124,3,0.7277,6,-0.1725
470,MISS YOU HOME,5.6,1,13.2,5.2,3.8,52.8,24.8,6,ARP,5,5/29/16,1320,D,FT,C,6800,124,4,0.9002,1,2.28E-02
470,HOMERS WHISKEY GAL,9.7,5,0,0,0,52.8,24.8,6,ARP,5,5/29/16,1320,D,FT,C,6800,124,5,0.8774,2,-2.28E-02
470,ELITE ROSE,10.6,6,0,0,0,52.8,24.8,6,ARP,5,5/29/16,1320,D,FT,C,6800,119,6,0.877,3,-2.32E-02
471,JILAS MIRACLE,2.7,1,7.4,4.2,2.6,33.8,17.2,7,ARP,6,5/29/16,1100,D,FT,C,7200,124,1,0.784,7,-0.1173
