race_id,track,race_number,distance,surface,date_time,race_description,available_bets
498,CBY,R3,5f,D,05-29-2016<br>11:49,FOR MN-BRED MAIDENS; FILLIES AND MARES THREE YEARS OLD  AND UPWARD. Three Year O,WIN; PLACE & SHOW (15% WPS TAKEOUT) / $1 EXACTA / $.50 TRIFECTA $.10 SUPERFECTA / $1 DAILY DOUBLE / $.50 PICK3 (RACES 3-4-5) $.50 PICK 4 (RACES 3-4-5-6) (18% EXOTIC TAKEOUT)
499,CBY,R4,6f,D,05-29-2016<br>12:18,FOR MINNESOTA BRED THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON THREE RACES. ,WIN; PLACE & SHOW (15% WPS TAKEOUT) / $1 EXACTA / $.50 TRIFECTA $.10 SUPERFECTA / $1 DAILY DOUBLE $.50 PICK 3(RACES 4-5-6) (18% EXOTIC TAKEOUT)
500,CBY,R5,5.5f,D,05-29-2016<br>12:47,FOR MINNESOTA BRED THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON TWO RACES. Th,WIN; PLACE & SHOW (15% WPS TAKEOUT) / $1 EXACTA / $.50 TRIFECTA $.10 SUPERFECTA / $1 DAILY DOUBLE $.50 PICK 3(RACES 5-6-7) (18% EXOTIC TAKEOUT)
501,CBY,R6,8.5f,T,05-29-2016<br>13:16,FOR MAIDENS; THREE YEARS OLD  AND UPWARD. Three Year Olds; 118 lbs.; Older; 123 ,WIN; PLACE & SHOW (15% WPS TAKEOUT) / $1 EXACTA / $.50 TRIFECTA $.10 SUPERFECTA / $.50 TURF TOP FIVE / $1 DAILY DOUBLE $.50 PICK 3 (RACES 6-7-8) / $.50 PICK 4 (RACES 6-7-8-9) (18% EXOTIC TAK
502,CBY,R7,6f,D,05-29-2016<br>13:45,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD WHICH HAVE NOT WON A RACE OTHE,WIN; PLACE & SHOW (15% WPS TAKEOUT) / $1 EXACTA / $.50 TRIFECTA $.10 SUPERFECTA / $1 DAILY DOUBLE $.50 PICK 3(RACES 7-8-9) (18% EXOTIC TAKEOUT)
503,CBY,R8,7.5f,T,05-29-2016<br>14:14,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD. Three Year Olds; 118 lbs.; Ol,WIN; PLACE & SHOW (15% WPS TAKEOUT) / $1 EXACTA / $.50 TRIFECTA $.10 SUPERFECTA / $.50 TURF TOP FIVE / $1 DAILY DOUBLE (18% EXOTIC TAKEOUT)
504,CBY,R9,6f,D,05-29-2016<br>14:43,FOR MAIDENS; THREE YEARS OLD  AND UPWARD. Three Year Olds; 119 lbs.; Older; 123 ,WIN; PLACE & SHOW (15% WPS TAKEOUT) / $1 EXACTA / $.50 TRIFECTA $.10 SUPERFECTA (18% EXOTIC TAKEOUT)
505,CDX,R1,8f,D,05-29-2016<br>09:45,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON THREE RACES OR THREE YEAR OL,DAILY DOUBLE / EXACTA / TRIFECTA / SUPERFECTA / PICK 3 (RACES 1-2-3) PICK 4 (RACES 1-2-3-4)
506,CDX,R2,8.5f,D,05-29-2016<br>10:14,FOR FOUR YEAR OLDS AND UPWARD. Weight; 123 lbs. Non-winners Of Two Races At A Mi,DAILY DOUBLE / EXACTA / TRIFECTA / SUPERFECTA / PICK 3 (RACES 2-3-4) PICK 5 (RACES 2-3-4-5-6)
507,CDX,R3,8f,D,05-29-2016<br>10:43,FOR MAIDENS; FILLIES AND MARES THREE YEARS OLD  AND UPWARD. Three Year Olds; 118,DAILY DOUBLE / EXACTA / TRIFECTA / SUPERFECTA / PICK 3 (RACES 3-4-5)
508,CDX,R4,8f,T,05-29-2016<br>11:13,FOR FOUR YEAR OLDS AND UPWARD. Weight; 123 lbs. Non-winners Of Two Races At A Mi,DAILY DOUBLE / EXACTA / TRIFECTA / SUPERFECTA / PICK 3 (RACES 4-5-6) PICK 4 (RACES 4-5-6-7)
509,CDX,R5,8f,D,05-29-2016<br>11:43,FOR MAIDENS; THREE YEARS OLD  AND UPWARD. Three Year Olds; 116 lbs.; Older; 123 ,DAILY DOUBLE / EXACTA / TRIFECTA / SUPERFECTA / PICK 3 (RACES 5-6-7) $.20 SINGLE 6 JACKPOT
