Name,Odds,FinishPosition,$2WinPay,$2PlacePay,$2ShowPay,ExactaPay,QuinellaPayFieldSize,Track,RaceNum,Date,DistYrds,Surface,TrackCondition,ClassDescriptor,Purse,Weight,BettersToteProb,BettersToteProbRk,BettersToteProbDiff
SUPERSIXONE,9.8,8,0,0,0,11.6,0,8,IND,1,05-28-2016,1320,D,FT,M,20000,118,.8262,3,-7.910001E-02
GREEN GOLD,.9,1,3.8,2.8,2.2,11.6,0,8,IND,1,05-28-2016,1320,D,FT,M,20000,122,.8035,5,-.1018
RED BLUE AND TRUE,6.5,4,0,0,0,11.6,0,8,IND,1,05-28-2016,1320,D,FT,M,20000,118,.9053,1,.0302
GONE BALLISTIC,8.4,7,0,0,0,11.6,0,8,IND,1,05-28-2016,1320,D,FT,M,20000,119,.8751,2,-.0302
CIVIL DISPUTE,7,5,0,0,0,11.6,0,8,IND,1,05-28-2016,1320,D,FT,M,20000,118,.772,6,-.1333
SAN NICOLO,28.5,3,0,0,5.4,11.6,0,8,IND,1,05-28-2016,1320,D,FT,M,20000,111,.6933,7,-.212
SERPENT,87.5,6,0,0,0,11.6,0,8,IND,1,05-28-2016,1320,D,FT,M,20000,118,.3186,8,-.5867
FEARLESS MAJESTY,4.1,2,0,3.8,2.6,11.6,0,8,IND,1,05-28-2016,1320,D,FT,M,20000,122,.8124,4,-9.290004E-02
GENERAL LING,20.7,6,0,0,0,68.8,0,7,IND,2,05-28-2016,1320,D,FT,C,9500,120,.8007,6,-.1049
ALTERCATION,3.5,4,0,0,0,68.8,0,7,IND,2,05-28-2016,1320,D,FT,C,9500,117,.8244,5,-.0812
UNBRIDLED GLOW,2.4,2,0,3.2,2.4,68.8,0,7,IND,2,05-28-2016,1320,D,FT,C,9500,122,.8599,3,-4.570001E-02
STORM THE STRIP,4.8,7,0,0,0,68.8,0,7,IND,2,05-28-2016,1320,D,FT,C,9500,117,.8514,4,-5.419999E-02
SAINT'S BRO,7.6,1,17.2,7.6,3.6,68.8,0,7,IND,2,05-28-2016,1320,D,FT,C,9500,117,.9056,1,6.500006E-03
C J'S GILDED CAT,17.5,5,0,0,0,68.8,0,7,IND,2,05-28-2016,1320,D,FT,C,9500,117,.8991,2,-6.500006E-03
TAKECHARGECOPELAND,2,3,0,0,3,68.8,0,7,IND,2,05-28-2016,1320,D,FT,C,9500,120,.7527,7,-.1529
MOWEST,36.9,7,0,0,0,51.8,0,7,IND,3,05-28-2016,1650,T,FM,S,34000,118,.8035,5,-.1271
MOON OVER CABO,1.6,2,0,3,2.4,51.8,0,7,IND,3,05-28-2016,1650,T,FM,S,34000,113,.7667,7,-.1639
CLASSY CAMELIA,17.8,5,0,0,0,51.8,0,7,IND,3,05-28-2016,1650,T,FM,S,34000,118,.9306,1,7.200003E-03
HIP TANG,6.6,1,15.2,6.8,3.8,51.8,0,7,IND,3,05-28-2016,1650,T,FM,S,34000,122,.9234,2,-7.200003E-03
SIERRA'S VALENTINE,1.9,3,0,0,2.4,51.8,0,7,IND,3,05-28-2016,1650,T,FM,S,34000,122,.8207,4,-.1099
FANCY HAT TRICK,4,4,0,0,0,51.8,0,7,IND,3,05-28-2016,1650,T,FM,S,34000,118,.7955,6,-.1351
CRAFTYS LIL SIS,8.7,6,0,0,0,51.8,0,7,IND,3,05-28-2016,1650,T,FM,S,34000,118,.8856,3,-4.500002E-02
LOOKOUT CAT,18.8,5,0,0,0,32.6,0,7,IND,4,05-28-2016,1320,D,FT,C,9500,119,.9682,1,2.600002E-02
WIND RIDER,3.5,2,0,4.8,3,32.6,0,7,IND,4,05-28-2016,1320,D,FT,C,9500,114,.8015,5,-.1667
SEATTLE LIGHTS,7.7,3,0,0,3.8,32.6,0,7,IND,4,05-28-2016,1320,D,FT,C,9500,119,.9422,2,-2.600002E-02
HARD LUCK MONK,4.4,7,0,0,0,32.6,0,7,IND,4,05-28-2016,1320,D,FT,C,9500,119,.8435,3,-.1247
GLOOMY GUS,2.5,4,0,0,0,32.6,0,7,IND,4,05-28-2016,1320,D,FT,C,9500,119,.735,7,-.2332
THATS MYBUDDY BOY,2.5,1,7,3.2,2.2,32.6,0,7,IND,4,05-28-2016,1320,D,FT,C,9500,122,.7389,6,-.2293
INDIANA EXPRESS,10.1,6,0,0,0,32.6,0,7,IND,4,05-28-2016,1320,D,FT,C,9500,119,.8125,4,-.1557
MOUNTAIN BROOKE,38.6,3,0,0,11.8,55.4,0,9,IND,5,05-28-2016,1650,T,FM,S,34000,118,.8514,7,-6.529999E-02
MISS BOUVIETTE,3.4,2,0,3.6,3,55.4,0,9,IND,5,05-28-2016,1650,T,FM,S,34000,122,.9073,3,-9.40001E-03
INDY DANCERS WON,5.6,7,0,0,0,55.4,0,9,IND,5,05-28-2016,1650,T,FM,S,34000,118,.8857,5,-3.100002E-02
HARLEY'S PAL,48.8,8,0,0,0,55.4,0,9,IND,5,05-28-2016,1650,T,FM,S,34000,122,.9163,2,-4.000068E-04
LIL RED JOY,20.1,5,0,0,0,55.4,0,9,IND,5,05-28-2016,1650,T,FM,S,34000,118,.787,9,-.1297
NORMAN'S CONQUEST,5.6,1,13.2,5,3.6,55.4,0,9,IND,5,05-28-2016,1650,T,FM,S,34000,118,.9167,1,4.000068E-04
DESERT DARLIN,5.6,9,0,0,0,55.4,0,9,IND,5,05-28-2016,1650,T,FM,S,34000,118,.8903,4,-2.640003E-02
LEOTA SILVER LADY,17.3,6,0,0,0,55.4,0,9,IND,5,05-28-2016,1650,T,FM,S,34000,118,.8766,6,-4.009998E-02
RASCOFRADE,1.5,4,0,0,0,55.4,0,9,IND,5,05-28-2016,1650,T,FM,S,34000,118,.822,8,-9.469998E-02
MARSH CREEK,2.3,1,6.6,3.2,3.8,24.2,0,8,IND,6,05-28-2016,1210,D,FT,C,9500,122,.8171,6,-8.930004E-02
MY BROWN EYED GUY,19.5,3,0,0,8.6,24.2,0,8,IND,6,05-28-2016,1210,D,FT,C,9500,122,.7298,8,-.1766
ENDLESS ESCAPE,13.8,4,0,0,0,24.2,0,8,IND,6,05-28-2016,1210,D,FT,C,9500,117,.885,2,-2.140003E-02
LIL BIT OF SPARKLE,17.2,8,0,0,0,24.2,0,8,IND,6,05-28-2016,1210,D,FT,C,9500,119,.9064,1,2.140003E-02
TOTAL IMMERSION,2.4,2,0,3.4,2.8,24.2,0,8,IND,6,05-28-2016,1210,D,FT,C,9500,122,.8558,4,-5.060005E-02
J. PA,12.9,5,0,0,0,24.2,0,8,IND,6,05-28-2016,1210,D,FT,C,9500,122,.8701,3,-.0363
CHEROKEE BAND,1.6,6,0,0,0,24.2,0,8,IND,6,05-28-2016,1210,D,FT,C,9500,122,.7857,7,-.1207
COMMANDO KAT,43.3,7,0,0,0,24.2,0,8,IND,6,05-28-2016,1210,D,FT,C,9500,122,.8506,5,-5.580002E-02
PLAY DIRTY,18.5,6,0,0,0,17.8,0,7,IND,7,05-28-2016,1320,D,FT,AO,38000,117,.9477,1,7.500052E-03
INFINITY OF HUMOR,1.1,1,4.2,2.6,2.1,17.8,0,7,IND,7,05-28-2016,1320,D,FT,AO,38000,120,.8572,5,-.0905
ANTE MY ANNIE,2.8,3,0,0,2.2,17.8,0,7,IND,7,05-28-2016,1320,D,FT,AO,38000,122,.8048,6,-.1429
PRINCESS TUMI,6.7,5,0,0,0,17.8,0,7,IND,7,05-28-2016,1320,D,FT,AO,38000,120,.9402,2,-7.500052E-03
AMBERLY VILLAGE,31.1,4,0,0,0,17.8,0,7,IND,7,05-28-2016,1320,D,FT,AO,38000,120,.6902,7,-.2575001
LADY CAROLINE,10.6,7,0,0,0,17.8,0,7,IND,7,05-28-2016,1320,D,FT,AO,38000,120,.8723,4,-7.539999E-02
JOYELLA,3.9,2,0,3.8,2.4,17.8,0,7,IND,7,05-28-2016,1320,D,FT,AO,38000,120,.8913,3,-.0564
LUCKY L J,1,1,4,3.2,2.4,24,0,8,IND,8,05-28-2016,1210,D,FT,C,9500,120,.7942,8,-9.960002E-02
DOUBLE DERINGER,8.2,2,0,5.2,2.8,24,0,8,IND,8,05-28-2016,1210,D,FT,C,9500,112,.8427,6,-5.110002E-02
UNCLE ALBERT,23.1,5,0,0,0,24,0,8,IND,8,05-28-2016,1210,D,FT,C,9500,120,.8556,3,-3.820002E-02
BOSSES NOTION,3.8,3,0,0,3,24,0,8,IND,8,05-28-2016,1210,D,FT,C,9500,120,.8645,2,-2.930003E-02
PINER CAT,8.2,4,0,0,0,24,0,8,IND,8,05-28-2016,1210,D,FT,C,9500,119,.8528,4,-4.100001E-02
RUN GROOM RUN,5.4,6,0,0,0,24,0,8,IND,8,05-28-2016,1210,D,FT,C,9500,117,.8474,5,-4.640001E-02
MARKOFORIENTATION,7.4,8,0,0,0,24,0,8,IND,8,05-28-2016,1210,D,FT,C,9500,120,.8938,1,2.930003E-02
DOLLAR WHISKEY,8.2,7,0,5.2,2.8,24,0,8,IND,8,05-28-2016,1210,D,FT,C,9500,112,.8225,7,-7.130003E-02
HUNSA'S MAGIC,24.4,6,0,0,0,44.4,0,6,LAD,1,05-27-2016,1210,D,SY,C,7000,107,.8814,1,1.419997E-02
GATA BIG HEART,3.5,4,0,0,0,44.4,0,6,LAD,1,05-27-2016,1210,D,SY,C,7000,113,.8285,6,-5.290002E-02
TRIFORCE,10.1,1,22.2,5,4,44.4,0,6,LAD,1,05-27-2016,1210,D,SY,C,7000,121,.8292,4,-5.219996E-02
BEE JAY GEE,8,5,0,0,0,44.4,0,6,LAD,1,05-27-2016,1210,D,SY,C,7000,119,.8289,5,-5.250001E-02
JAMI ROAD,36.9,3,0,0,8.8,44.4,0,6,LAD,1,05-27-2016,1210,D,SY,C,7000,118,.8414,3,-3.999996E-02
BLAMEITONTHEBLUES,.3,2,0,2.1,2.1,44.4,0,6,LAD,1,05-27-2016,1210,D,SY,C,7000,112,.8672,2,-1.419997E-02
SILKY LADY,18.1,4,0,0,0,101.2,0,7,LAD,2,05-27-2016,1760,O,SY,S,19000,121,.9435,1,5.499959E-03
APRIL SIMONE,45.9,6,0,0,0,101.2,0,7,LAD,2,05-27-2016,1760,O,SY,S,19000,116,.938,2,-5.499959E-03
MO'S LOVE,4.2,3,0,0,3.4,101.2,0,7,LAD,2,05-27-2016,1760,O,SY,S,19000,118,.8284,6,-.1151
LYNN WON'T TELL,2.3,5,0,0,0,101.2,0,7,LAD,2,05-27-2016,1760,O,SY,S,19000,118,.8342,5,-.1093
A SONG OF FAITH,3.2,2,0,4.8,3.2,101.2,0,7,LAD,2,05-27-2016,1760,O,SY,S,19000,118,.8854,3,-5.809999E-02
MY SMOKIN HOT WIFE,12.6,1,27.2,7.6,5.6,101.2,0,7,LAD,2,05-27-2016,1760,O,SY,S,19000,113,.8541,4,-8.939999E-02
CONSPICE,1.9,7,0,0,0,101.2,0,7,LAD,2,05-27-2016,1760,O,SY,S,19000,118,.8056,7,-.1379
DOC'S ROCKET,.9,1,3.8,3,2.1,16.6,0,6,LAD,3,05-27-2016,1100,D,SY,M,5500,115,.8018,5,-.1536
GAME NIGHT LADY,2.9,3,0,0,2.4,16.6,0,6,LAD,3,05-27-2016,1100,D,SY,M,5500,118,.8393,4,-.1161
EARTH SHAKER,18.3,6,0,0,0,16.6,0,6,LAD,3,05-27-2016,1100,D,SY,M,5500,115,.9554,1,6.510001E-02
PAMPLONA PRINCESS,3.9,4,0,0,0,16.6,0,6,LAD,3,05-27-2016,1100,D,SY,M,5500,124,.8903,2,-6.510001E-02
LOUISIANA MELODY,13.8,5,0,0,0,16.6,0,6,LAD,3,05-27-2016,1100,D,SY,M,5500,116,.7933,6,-.1621
DANCING TYRRYLL,7.1,2,0,5.6,2.6,16.6,0,6,LAD,3,05-27-2016,1100,D,SY,M,5500,121,.8586,3,-9.679997E-02
BELLO AMANTE,2.8,2,0,5.4,3.6,132.2,0,9,LAD,4,05-27-2016,1760,O,SY,C,10500,112,.8056,6,-7.350004E-02
BURNING RUNNER,12.4,1,26.8,10.8,6.6,132.2,0,9,LAD,4,05-27-2016,1760,O,SY,C,10500,118,.8643,2,-1.480001E-02
MILTEE,8.8,5,0,0,0,132.2,0,9,LAD,4,05-27-2016,1760,O,SY,C,10500,117,.8791,1,1.480001E-02
U R A WINNER,25,6,0,0,0,132.2,0,9,LAD,4,05-27-2016,1760,O,SY,C,10500,110,.754,7,-.1251
CROOK'S PRICE,87.8,7,0,0,0,132.2,0,9,LAD,4,05-27-2016,1760,O,SY,C,10500,117,.3374,9,-.5417
RIBBON BOX,21.5,9,0,0,0,132.2,0,9,LAD,4,05-27-2016,1760,O,SY,C,10500,118,.7358,8,-.1433
HORSE WITH NO NAME,1.1,4,0,0,0,132.2,0,9,LAD,4,05-27-2016,1760,O,SY,C,10500,121,.8383,3,-4.080003E-02
KISS HIM TWICE,34.8,8,0,0,0,132.2,0,9,LAD,4,05-27-2016,1760,O,SY,C,10500,117,.8127,5,-6.640005E-02
ZARB'S BELL,4.3,3,0,0,4.2,132.2,0,9,LAD,4,05-27-2016,1760,O,SY,C,10500,118,.8141,4,-.065
LOGAN RAYE,52.5,6,0,0,0,33.4,0,7,LAD,5,05-27-2016,1210,D,SY,C,5500,121,.7169,7,-.1944
ELECTRIC KISS,.5,2,0,2.4,2.2,33.4,0,7,LAD,5,05-27-2016,1210,D,SY,C,5500,118,.8426,5,-6.870002E-02
HYSTERICALBLINDNES,4.7,3,0,0,3.4,33.4,0,7,LAD,5,05-27-2016,1210,D,SY,C,5500,113,.8339,6,-7.740003E-02
SORCERER'S APPEAL,11.3,4,0,0,0,33.4,0,7,LAD,5,05-27-2016,1210,D,SY,C,5500,118,.8918,2,-1.950002E-02
WILDCAT CALLIE,45.4,7,0,0,0,33.4,0,7,LAD,5,05-27-2016,1210,D,SY,C,5500,118,.8677,4,-4.360002E-02
A K F TO VEGAS,3.9,5,0,0,0,33.4,0,7,LAD,5,05-27-2016,1210,D,SY,C,5500,118,.8918,2,-1.950002E-02
SHATORAH,11.5,1,25,5.4,4,33.4,0,7,LAD,5,05-27-2016,1210,D,SY,C,5500,118,.9113,1,1.950002E-02
THERON,4.7,5,0,0,0,52.8,0,6,LAD,6,05-27-2016,1650,O,SY,AO,20500,115,.8402,3,-4.629999E-02
YOOOU DEN,4.6,4,0,0,0,52.8,0,6,LAD,6,05-27-2016,1650,O,SY,AO,20500,124,.8086,5,-7.789999E-02
MISS BETTY BOO,4.6,2,0,5.4,2.8,52.8,0,6,LAD,6,05-27-2016,1650,O,SY,AO,20500,118,.812,4,-7.450002E-02
ALIANA,1.6,3,0,0,2.4,52.8,0,6,LAD,6,05-27-2016,1650,O,SY,AO,20500,113,.7834,6,-.1031
JACKSON'S G G,6.4,1,14.8,6.2,3,52.8,0,6,LAD,6,05-27-2016,1650,O,SY,AO,20500,118,.8865,1,1.230001E-02
PEP RALLY PRINCESS,5.4,6,0,0,0,52.8,0,6,LAD,6,05-27-2016,1650,O,SY,AO,20500,118,.8742,2,-1.230001E-02
REBEL MISS,6.8,8,0,0,0,30.6,0,9,LAD,7,05-27-2016,1430,D,SY,C,5500,121,.9251,1,4.800004E-02
TIGER LADY,12.5,6,0,0,0,30.6,0,9,LAD,7,05-27-2016,1430,D,SY,C,5500,121,.8653,3,-5.980003E-02
ETBAUER'S HIT,3.8,3,0,0,3,30.6,0,9,LAD,7,05-27-2016,1430,D,SY,C,5500,116,.8347,5,-9.040004E-02
SHE SLEEPS,20.5,7,0,0,0,30.6,0,9,LAD,7,05-27-2016,1430,D,SY,C,5500,121,.7138,8,-.2113
ABAMA LIGHT,64.9,9,0,0,0,30.6,0,9,LAD,7,05-27-2016,1430,D,SY,C,5500,124,.514,9,-.4111
KEVIL KID,4.3,1,10.6,5.6,2.4,30.6,0,9,LAD,7,05-27-2016,1430,D,SY,C,5500,116,.8289,6,-9.620005E-02
PROUD MANDY,13.3,4,0,0,0,30.6,0,9,LAD,7,05-27-2016,1430,D,SY,C,5500,124,.8423,4,-8.280003E-02
SHESATOPATTRACTION,1.3,2,0,3.2,2.4,30.6,0,9,LAD,7,05-27-2016,1430,D,SY,C,5500,124,.7774,7,-.1477
ALL IN THE ART,15.9,5,0,0,0,30.6,0,9,LAD,7,05-27-2016,1430,D,SY,C,5500,121,.8771,2,-4.800004E-02
ELEVENPOINT RIVER,1.3,3,0,0,2.2,48.6,0,5,LAD,1,05-28-2016,1760,O,FT,M,8500,113,.794,5,-.1151
FOREST DANCER,5.4,1,12.8,6.2,2.8,48.6,0,5,LAD,1,05-28-2016,1760,O,FT,M,8500,124,.8781,2,-3.100002E-02
GRILLA,8.6,5,0,0,0,48.6,0,5,LAD,1,05-28-2016,1760,O,FT,M,8500,124,.9091,1,3.100002E-02
MEG AND CLAIR,2.9,2,0,5,2.4,48.6,0,5,LAD,1,05-28-2016,1760,O,FT,M,8500,118,.8225,3,-8.660001E-02
SKIPADEE DUE DA,2.8,4,0,0,0,48.6,0,5,LAD,1,05-28-2016,1760,O,FT,M,8500,115,.806,4,-.1031
YEHUDI,28.2,6,0,0,0,19.2,0,6,LAD,2,05-28-2016,1430,D,FT,C,7000,116,.7563,5,-.1433001
LUKIE JOE,.8,2,0,2.4,2.2,19.2,0,6,LAD,2,05-28-2016,1430,D,FT,C,7000,116,.7452,6,-.1544001
ADDED EXPECTATION,5.2,3,0,0,2.4,19.2,0,6,LAD,2,05-28-2016,1430,D,FT,C,7000,119,.8389,3,-.0607
HENRY IS HENRY,7.7,5,0,0,0,19.2,0,6,LAD,2,05-28-2016,1430,D,FT,C,7000,118,.8996,1,6.100059E-03
ELLA'S TOP CAT,9.7,4,0,0,0,19.2,0,6,LAD,2,05-28-2016,1430,D,FT,C,7000,121,.8935,2,-6.100059E-03
CULLEN AND TAYLOR,2.9,1,7.8,3.2,2.4,19.2,0,6,LAD,2,05-28-2016,1430,D,FT,C,7000,111,.8346,4,-6.500006E-02
KAPENTA,1.7,1,5.4,2.8,2.4,22.6,0,6,LAD,3,05-28-2016,1650,O,FT,CO,8500,113,.8168,5,-.1212
FRANCE'S IDOL,22.6,6,0,0,0,22.6,0,6,LAD,3,05-28-2016,1650,O,FT,CO,8500,118,.8354,4,-.1026
LUKES BAD BOY,5.7,4,0,0,0,22.6,0,6,LAD,3,05-28-2016,1650,O,FT,CO,8500,118,.938,1,.0686
ROYAL GUARDIAN,12.8,3,0,0,3.8,22.6,0,6,LAD,3,05-28-2016,1650,O,FT,CO,8500,121,.8694,2,-.0686
SAINT FLOYD,3.2,2,0,4,2.8,22.6,0,6,LAD,3,05-28-2016,1650,O,FT,CO,8500,121,.8627,3,-7.530004E-02
SALUTE THE L T J G,1.9,5,0,0,0,22.6,0,6,LAD,3,05-28-2016,1650,O,FT,CO,8500,121,.8079,6,-.1301
BOX OFFICE APPEAL,1,1,4,2.8,2.4,18.2,0,8,LAD,4,05-28-2016,1830,D,FT,C,5500,124,.8008,6,-.1364
SWEEZY,7.5,2,0,5.4,3.6,18.2,0,8,LAD,4,05-28-2016,1830,D,FT,C,5500,121,.8789,4,-5.830002E-02
REINA DE DIAMANTES,2.8,5,0,0,0,18.2,0,8,LAD,4,05-28-2016,1830,D,FT,C,5500,124,.7946,7,-.1426
CAMP ALLEGHENY,15.4,3,0,0,3.8,18.2,0,8,LAD,4,05-28-2016,1830,D,FT,C,5500,113,.8512,5,-8.600003E-02
PURE TSU TSU,25.1,6,0,0,0,18.2,0,8,LAD,4,05-28-2016,1830,D,FT,C,5500,116,.7647,8,-.1725
NEW GIRL,7.9,4,0,0,0,18.2,0,8,LAD,4,05-28-2016,1830,D,FT,C,5500,124,.9372,1,2.039999E-02
CATCH THIS FISH,46.5,7,0,0,0,18.2,0,8,LAD,4,05-28-2016,1830,D,FT,C,5500,124,.9168,2,-2.039999E-02
TEDIOUS,7.7,8,0,0,0,18.2,0,8,LAD,4,05-28-2016,1830,D,FT,C,5500,121,.8978,3,-3.939998E-02
FLANKER,19.7,4,0,0,0,14.4,0,8,LAD,5,05-28-2016,1760,O,FT,S,19000,118,.6624,8,-.2502
RENO JACK,8.4,6,0,0,0,14.4,0,8,LAD,5,05-28-2016,1760,O,FT,S,19000,118,.8554,3,-5.719995E-02
LATE NIGHT SNACK,34.9,8,0,0,0,14.4,0,8,LAD,5,05-28-2016,1760,O,FT,S,19000,118,.7934,6,-.1192
T. JAY'S HOLIDAY,1.3,2,0,3,2.4,14.4,0,8,LAD,5,05-28-2016,1760,O,FT,S,19000,118,.8045,5,-.1081
HE GOTTA GO,4.3,3,0,0,3.2,14.4,0,8,LAD,5,05-28-2016,1760,O,FT,S,19000,118,.8395,4,-7.309997E-02
LITTLE B,13.7,7,0,0,0,14.4,0,8,LAD,5,05-28-2016,1760,O,FT,S,19000,118,.8644,2,-4.819995E-02
JEFF AND J'S DREAM,14.6,5,0,0,0,14.4,0,8,LAD,5,05-28-2016,1760,O,FT,S,19000,115,.9126,1,4.819995E-02
MABRY'S STREAK,2.5,1,7,3.2,2.4,14.4,0,8,LAD,5,05-28-2016,1760,O,FT,S,19000,116,.7469,7,-.1657
SOLID SOUTH,12.5,7,0,0,0,22.4,0,9,LAD,6,05-28-2016,1830,D,FT,C,5500,119,.8478,5,-.1552
TOUR DE ROCK,2.3,3,0,0,2.1,22.4,0,9,LAD,6,05-28-2016,1830,D,FT,C,5500,124,.8128,6,-.1902
MAN OF STRIFE,3.3,2,0,3.8,2.6,22.4,0,9,LAD,6,05-28-2016,1830,D,FT,C,5500,121,.8514,4,-.1516
THUNDER WEST,13.5,5,0,0,0,22.4,0,9,LAD,6,05-28-2016,1830,D,FT,C,5500,121,.8773,2,-.1257
TYLER'S WILDCAT,19.9,6,0,0,0,22.4,0,9,LAD,6,05-28-2016,1830,D,FT,C,5500,124,.7211,9,-.2819
ADIEU GERALD,7.1,9,0,0,0,22.4,0,9,LAD,6,05-28-2016,1830,D,FT,C,5500,121,.8667,3,-.1363
TURBO,29.7,8,0,0,0,22.4,0,9,LAD,6,05-28-2016,1830,D,FT,C,5500,121,.7491,8,-.2539
BIPARTISAN,2.2,1,6.4,3.8,2.6,22.4,0,9,LAD,6,05-28-2016,1830,D,FT,C,5500,124,.8022,7,-.2008
EMPTY PAGES,48.9,4,0,0,0,22.4,0,9,LAD,6,05-28-2016,1830,D,FT,C,5500,124,1.003,1,.1257
LINCOLN HIGH,2.2,3,0,0,0,22.2,0,4,LAD,7,05-28-2016,1650,O,FT,AO,24000,121,.8294,2,-3.499985E-03
SPECIAL COLLECTION,2.3,4,0,0,0,22.2,0,4,LAD,7,05-28-2016,1650,O,FT,AO,24000,121,.8329,1,3.499985E-03
FOUR OF A KIND,2.6,1,7.2,3.4,0,22.2,0,4,LAD,7,05-28-2016,1650,O,FT,AO,24000,116,.7654,4,-.0675
SHESAHEADATTHEBAR,2,2,0,3.6,0,22.2,0,4,LAD,7,05-28-2016,1650,O,FT,AO,24000,121,.7668,3,-.0661
TIGER GATE,11.2,7,0,0,0,175.8,0,7,LAD,1,05-30-2016,1100,T,GD,CO,8500,113,.8918,1,2.090001E-02
POCKET TIME,1.3,5,0,0,0,175.8,0,7,LAD,1,05-30-2016,1100,T,GD,CO,8500,121,.8009,6,-.0909
JONESBORO POLLY,13.3,1,28.6,14.6,6.8,175.8,0,7,LAD,1,05-30-2016,1100,T,GD,CO,8500,121,.8709,2,-2.090001E-02
MINISTER OF WAR,5.2,3,0,0,3.6,175.8,0,7,LAD,1,05-30-2016,1100,T,GD,CO,8500,118,.8513,3,-4.049999E-02
BOOGIE N AGAIN,21.1,6,0,0,0,175.8,0,7,LAD,1,05-30-2016,1100,T,GD,CO,8500,118,.7249,7,-.1669
GIRL WANDO,4.6,2,0,6,3.6,175.8,0,7,LAD,1,05-30-2016,1100,T,GD,CO,8500,121,.8277,4,-6.409997E-02
MEETMEATCAJUNS,3,4,0,0,0,175.8,0,7,LAD,1,05-30-2016,1100,T,GD,CO,8500,118,.8056,5,-.0862
YANKEE STAR,.2,1,2.4,2.1,2.1,6.6,0,5,LAD,2,05-30-2016,1210,D,FT,C,5500,115,.8074,4,-.1276
MAN OF VALOR,7,2,0,3.6,2.6,6.6,0,5,LAD,2,05-30-2016,1210,D,FT,C,5500,107,.8528,2,-8.219999E-02
HINDS COUNTY,10.1,5,0,0,0,6.6,0,5,LAD,2,05-30-2016,1210,D,FT,C,5500,113,.8458,3,-8.920002E-02
BILOXI GOLD,5.8,4,0,0,0,6.6,0,5,LAD,2,05-30-2016,1210,D,FT,C,5500,118,.935,1,8.219999E-02
KIRA'S KING,27,3,0,0,3.6,6.6,0,5,LAD,2,05-30-2016,1210,D,FT,C,5500,118,.8036,5,-.1314
SHUFFLER'SLASTCARD,17.3,2,0,7,6,36.2,0,5,LAD,3,05-30-2016,1100,T,GD,M,7000,118,.807,3,-.1639
MOMMA'S CASH,9.5,5,0,0,0,36.2,0,5,LAD,3,05-30-2016,1100,T,GD,M,7000,118,.8747,2,-9.619999E-02
INDY SLIPPERS,.6,1,3.2,2.4,2.2,36.2,0,5,LAD,3,05-30-2016,1100,T,GD,M,7000,121,.7987,5,-.1722
INFINITE TIZZY,2.1,4,0,0,0,36.2,0,5,LAD,3,05-30-2016,1100,T,GD,M,7000,115,.8069,4,-.164
LITTLE MISS REBEL,6.9,3,0,0,3.4,36.2,0,5,LAD,3,05-30-2016,1100,T,GD,M,7000,110,.9709,1,9.619999E-02
SURGATE,1.1,2,0,2.8,2.6,17.6,0,7,LAD,4,05-30-2016,1830,D,FT,C,10000,118,.8555,4,-.1048
THEYCALLEDHIMBIG,10.5,6,0,0,0,17.6,0,7,LAD,4,05-30-2016,1830,D,FT,C,10000,124,.8568,3,-.1035
HONOR NAJRAN,18.4,3,0,0,3.6,17.6,0,7,LAD,4,05-30-2016,1830,D,FT,C,10000,121,.9603,1,8.510005E-02
THEREGOESTHATMAN,5.6,5,0,0,0,17.6,0,7,LAD,4,05-30-2016,1830,D,FT,C,10000,121,.8752,2,-8.510005E-02
MAN OF BETHEL,5,4,0,0,0,17.6,0,7,LAD,4,05-30-2016,1830,D,FT,C,10000,121,.8136,6,-.1467
BOUNDTOBESPECIAL,38.4,7,0,0,0,17.6,0,7,LAD,4,05-30-2016,1830,D,FT,C,10000,121,.8353,5,-.125
EM'S PERFECT TEN,2.7,1,7.4,3.6,3,17.6,0,7,LAD,4,05-30-2016,1830,D,FT,C,10000,121,.8029,7,-.1574
SOCIAL CALENDAR,35.5,6,0,0,0,24.4,0,9,LAD,5,05-30-2016,1650,T,GD,A,20000,118,.8103,3,-.1532
GO GO GOOSE,4.5,1,11,4.6,2.8,24.4,0,9,LAD,5,05-30-2016,1650,T,GD,A,20000,121,.7931,6,-.1704
BRANCHWATER,22.6,4,0,0,0,24.4,0,9,LAD,5,05-30-2016,1650,T,GD,A,20000,118,.7788,7,-.1847
SKI TUNE,4.7,3,0,0,3,24.4,0,9,LAD,5,05-30-2016,1650,T,GD,A,20000,115,.8048,5,-.1587
SWEET SILVER,46.7,5,0,0,0,24.4,0,9,LAD,5,05-30-2016,1650,T,GD,A,20000,118,.9635,1,.1224
LITTLE SHOES,25.7,7,0,0,0,24.4,0,9,LAD,5,05-30-2016,1650,T,GD,A,20000,121,.8063,4,-.1572
FAITH IN A SAINT,5.3,9,0,0,0,24.4,0,9,LAD,5,05-30-2016,1650,T,GD,A,20000,115,.8411,2,-.1224
KATE ROYALE,30.9,8,0,0,0,24.4,0,9,LAD,5,05-30-2016,1650,T,GD,A,20000,113,.6667,9,-.2968
KINKY VOW,.8,2,0,2.8,2.4,24.4,0,9,LAD,5,05-30-2016,1650,T,GD,A,20000,118,.7663,8,-.1972
SWEET YANKEE,14.7,10,0,0,0,52.4,0,10,LAD,6,05-30-2016,1210,D,FT,C,5500,118,.9263,2,-4.190004E-02
