Name,Odds,FinishPosition,$2WinPay,$2PlacePay,$2ShowPay,ExactaPay,QuinellaPayFieldSize,Track,RaceNum,Date,DistYrds,Surface,TrackCondition,ClassDescriptor,Purse,Weight,BettersToteProb,BettersToteProbRk,BettersToteProbDiff
MY MOMENT,2.7,1,7.4,4,3,32.4,0,8,APX,2,05-28-2016,1430,D,FT,C,12000,121,.7848,7,-.1056
FLYIN FOR A LIVIN,6.1,3,0,0,4,32.4,0,8,APX,2,05-28-2016,1430,D,FT,C,12000,121,.8477,4,-4.269999E-02
BONNIE BLUE EYES,7.4,7,0,0,0,32.4,0,8,APX,2,05-28-2016,1430,D,FT,C,12000,121,.8904,1,1.809996E-02
BRAZYN APPEAL,7.3,4,0,0,0,32.4,0,8,APX,2,05-28-2016,1430,D,FT,C,12000,121,.8723,2,-1.809996E-02
KANSAS QUEEN,2.4,5,0,0,0,32.4,0,8,APX,2,05-28-2016,1430,D,FT,C,12000,121,.8602,3,-.0302
LADY DOZER,31.2,8,0,0,0,32.4,0,8,APX,2,05-28-2016,1430,D,FT,C,12000,114,.6601,8,-.2303
G P'S GIRL,6.4,8,0,0,0,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,116,.9109,1,1.499999E-02
SCATLADYBDANCING,13.6,2,0,11.2,5.6,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,121,.8585,4,-5.239999E-02
PENELOPE PERFECT,16.1,6,0,0,0,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,121,.8636,3,-4.729998E-02
LIAR'S SMOKER,2.8,5,0,0,0,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,121,.7904,7,-.1205
NEW ORLEANS LADY,3,7,0,0,0,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,119,.828,5,-8.289999E-02
YUM YUM,2.2,1,6.4,4.2,3.2,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,121,.793,6,-.1179
WAR ALERT,14.5,3,0,0,5.8,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,121,.8959,2,-1.499999E-02
ELAINE KOWALESKI,29.3,4,0,0,0,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,121,.7211,9,-.1898
BALTIC STAR,25.8,9,0,0,0,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,121,.7343,8,-.1766
GRANDTOBDANCING,26.5,7,0,0,0,12.4,0,7,APX,4,05-28-2016,1430,D,FT,M,13000,122,.7563,7,-.1408
SOFIA'S STAR,11,4,0,0,0,12.4,0,7,APX,4,05-28-2016,1430,D,FT,M,13000,119,.8664,2,-3.069997E-02
CAFERINA,5.7,6,0,0,0,12.4,0,7,APX,4,05-28-2016,1430,D,FT,M,13000,119,.8971,1,3.069997E-02
FAHIONABLY LATE,2.3,2,0,3.6,2.4,12.4,0,7,APX,4,05-28-2016,1430,D,FT,M,13000,124,.8375,5,-.0596
REFASHION,4.3,3,0,0,2.6,12.4,0,7,APX,4,05-28-2016,1430,D,FT,M,13000,124,.839,4,-5.809999E-02
GILDED ARGUMENT,12.3,5,0,0,0,12.4,0,7,APX,4,05-28-2016,1430,D,FT,M,13000,124,.8485,3,-4.859996E-02
SACRED CANYON,1.6,1,5.2,3.2,2.4,12.4,0,7,APX,4,05-28-2016,1430,D,FT,M,13000,124,.7686,6,-.1285
RELOADED,2.3,4,0,0,0,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,119,.821,6,-4.629999E-02
MOON TRACK,2.1,2,0,4.2,3,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,124,.7638,8,-.1034999
EL GANADOR,45.1,12,0,0,0,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,117,.8298,5,-3.749996E-02
MONGOLIAN HOLIDAY,20.3,1,42.6,16.4,7.2,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,119,.6816,12,-.1857
STATURE,40.8,10,0,0,0,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,119,.8067,7,-6.059998E-02
SUDDEN URGES,3.2,3,0,0,2.8,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,124,.8673,1,8.999705E-04
STEALTHY TRAVELER,41,11,0,0,0,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,122,.756,9,-.1113
SUPA,7.2,6,0,0,0,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,124,.8528,3,-1.449996E-02
CHUGGY,30.2,9,0,0,0,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,122,.6989,11,-.1684
OUTSIDE IN,27.6,7,0,0,0,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,119,.7465,10,-.1208
A LUCKY DREAM,44.6,8,0,0,0,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,117,.8664,2,-8.999705E-04
THEGHOSTBDANCING,44.6,5,0,0,0,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,119,.8345,4,-3.279996E-02
FLIPCUP,5.1,1,12.2,5.4,3.2,45.6,0,9,APX,6,05-28-2016,1980,D,FT,G3,100000,116,.8162,7,-7.019997E-02
TIZ LATELY,37.9,7,0,0,0,45.6,0,9,APX,6,05-28-2016,1980,D,FT,G3,100000,116,.8441,5,-4.229999E-02
BROOKLYNSWAY,2.3,3,0,0,2.6,45.6,0,9,APX,6,05-28-2016,1980,D,FT,G3,100000,123,.8395,6,-4.689997E-02
BITTY KITTY,11.3,5,0,0,0,45.6,0,9,APX,6,05-28-2016,1980,D,FT,G3,100000,116,.8758,2,-1.059997E-02
INNOVATIVE IDEA,22.7,9,0,0,0,45.6,0,9,APX,6,05-28-2016,1980,D,FT,G3,100000,116,.8579,4,-2.849996E-02
NO FAULT OF MINE,1.8,2,0,3.6,2.6,45.6,0,9,APX,6,05-28-2016,1980,D,FT,G3,100000,116,.7686,9,-.1178
CITY OF TRIX,36.1,4,0,0,0,45.6,0,9,APX,6,05-28-2016,1980,D,FT,G3,100000,116,.7754,8,-.111
ZUBI ZUBI ZU,13.9,8,0,0,0,45.6,0,9,APX,6,05-28-2016,1980,D,FT,G3,100000,116,.8746,3,-1.179999E-02
SHE'S NOT HERE,5.7,6,0,0,0,45.6,0,9,APX,6,05-28-2016,1980,D,FT,G3,100000,116,.8864,1,1.059997E-02
TWO STEP TIME,11.1,4,0,0,0,46.2,0,11,APX,7,05-28-2016,1870,T,YL,G3,100000,119,.87,4,-7.800001E-02
ITSNOTEZBEINBREEZY,50.8,6,0,0,0,46.2,0,11,APX,7,05-28-2016,1870,T,YL,G3,100000,117,.9428,2,-5.200028E-03
SURGICAL STRIKE,1.7,1,5.4,3.4,2.6,46.2,0,11,APX,7,05-28-2016,1870,T,YL,G3,100000,121,.7871,8,-.1609
FELT IN POCKET,40.9,7,0,0,0,46.2,0,11,APX,7,05-28-2016,1870,T,YL,G3,100000,112,.7752,10,-.1728
COCKED AND LOADED,6.9,11,0,0,0,46.2,0,11,APX,7,05-28-2016,1870,T,YL,G3,100000,117,.948,1,5.200028E-03
UNCLE JERRY,33,10,0,0,0,46.2,0,11,APX,7,05-28-2016,1870,T,YL,G3,100000,117,.7616,11,-.1864
CALL THE COLONEL,39.5,9,0,0,0,46.2,0,11,APX,7,05-28-2016,1870,T,YL,G3,100000,119,.8789,3,-6.910002E-02
YO CARM,28.9,8,0,0,0,46.2,0,11,APX,7,05-28-2016,1870,T,YL,G3,100000,117,.7864,9,-.1616
ONE MEAN MAN,10.7,2,0,8,5.6,46.2,0,11,APX,7,05-28-2016,1870,T,YL,G3,100000,117,.8681,5,-7.990003E-02
SWAGGER JAGGER,7,3,0,0,4.8,46.2,0,11,APX,7,05-28-2016,1870,T,YL,G3,100000,117,.824,6,-.124
TEQUILA JOE,2.3,5,0,0,0,46.2,0,11,APX,7,05-28-2016,1870,T,YL,G3,100000,119,.8062,7,-.1418
BULL MARKET RICHIE,6.2,7,0,0,0,52.6,0,10,APX,8,05-28-2016,1760,T,YL,R,13500,124,.8424,3,-8.859998E-02
TAPANNA,2.4,1,6.8,4,3.2,52.6,0,10,APX,8,05-28-2016,1760,T,YL,R,13500,121,.8293,6,-.1017
MY BORSALINO,9.1,2,0,9,4.4,52.6,0,10,APX,8,05-28-2016,1760,T,YL,R,13500,121,.8333,5,-.0977
TWO LIONS,31.4,8,0,0,0,52.6,0,10,APX,8,05-28-2016,1760,T,YL,R,13500,121,.6674,10,-.2636
BIG MAN IN BLACK,25.4,9,0,0,0,52.6,0,10,APX,8,05-28-2016,1760,T,YL,R,13500,121,.7102,9,-.2208
PRINCE CHEVAL,16.6,6,0,0,0,52.6,0,10,APX,8,05-28-2016,1760,T,YL,R,13500,121,.9011,2,-2.990001E-02
LASSELL,3.6,4,0,0,0,52.6,0,10,APX,8,05-28-2016,1760,T,YL,R,13500,121,.8418,4,-8.920002E-02
FOUR LEFT FEET,4.3,5,0,0,0,52.6,0,10,APX,8,05-28-2016,1760,T,YL,R,13500,121,.822,8,-.109
DANCING ROCK,7.1,3,0,0,4.8,52.6,0,10,APX,8,05-28-2016,1760,T,YL,R,13500,121,.8278,7,-.1032
INDY AWESOME,46.5,10,0,0,0,52.6,0,10,APX,8,05-28-2016,1760,T,YL,R,13500,121,.931,1,2.990001E-02
NOEASYWAYOUT,13.1,6,0,0,0,20.8,0,6,APX,1,05-29-2016,1430,D,FT,C,15000,122,.8347,4,-.1023
HOLY BULLEX,4.9,2,0,4.2,3.6,20.8,0,6,APX,1,05-29-2016,1430,D,FT,C,15000,117,.8655,2,-.0715
